iter	Passed	Remaining
0	55	27755
1	57	14213
2	58	9683
3	59	7361
4	60	5963
5	61	5026
6	62	4369
7	63	3887
8	64	3499
9	64	3183
10	65	2921
11	66	2700
12	67	2520
13	68	2374
14	69	2232
15	69	2109
16	70	2002
17	71	1902
18	71	1817
19	72	1746
20	73	1676
21	74	1612
22	75	1555
23	75	1500
24	76	1450
25	77	1403
26	77	1361
27	78	1323
28	79	1291
29	80	1258
30	81	1228
31	82	1199
32	83	1174
33	83	1150
34	85	1130
35	86	1115
36	87	1097
37	88	1079
38	89	1062
39	91	1049
40	92	1032
41	93	1018
42	94	1004
43	95	990
44	96	974
45	97	962
46	98	947
47	99	934
48	100	920
49	100	908
50	102	900
51	103	889
52	103	876
53	104	863
54	105	851
55	105	839
56	106	828
57	107	816
58	107	806
59	108	798
60	109	787
61	110	781
62	111	773
63	112	766
64	113	761
65	114	753
66	115	747
67	117	746
68	118	740
69	119	733
70	120	726
71	121	719
72	121	712
73	122	708
74	124	705
75	125	699
76	126	694
77	127	688
78	128	683
79	129	678
80	130	673
81	131	667
82	132	663
83	133	661
84	135	659
85	136	655
86	137	652
87	138	650
88	140	646
89	141	644
90	143	642
91	143	637
92	144	631
93	144	625
94	145	620
95	146	615
96	146	610
97	147	605
98	148	601
99	149	597
100	150	593
101	151	589
102	151	584
103	152	580
104	153	575
105	154	572
106	154	568
107	155	565
108	156	561
109	158	560
110	159	559
111	160	556
112	161	553
113	162	551
114	163	548
115	164	545
116	172	563
117	180	584
118	181	582
119	200	634
120	203	637
121	207	644
122	209	642
123	210	639
124	212	636
125	213	634
126	214	630
127	217	632
128	221	637
129	224	639
130	225	636
131	226	631
132	227	627
133	228	624
134	229	619
135	230	616
136	231	612
137	232	608
138	232	604
139	233	601
140	234	597
141	235	593
142	236	590
143	237	587
144	238	583
145	239	580
146	240	577
147	241	575
148	242	571
149	243	568
150	266	616
151	269	617
152	276	627
153	278	626
154	280	624
155	282	622
156	283	619
157	287	621
158	290	623
159	294	626
160	297	626
161	314	656
162	346	715
163	348	713
164	356	722
165	357	719
166	358	715
167	360	712
168	361	707
169	362	702
170	364	701
171	366	699
172	367	695
173	369	692
174	370	688
175	371	684
176	372	680
177	373	676
178	375	672
179	376	669
180	377	665
181	378	660
182	379	657
183	380	653
184	381	648
185	381	644
186	383	641
187	384	638
188	386	635
189	387	632
190	389	629
191	390	626
192	391	622
193	392	619
194	393	614
195	393	610
196	394	606
197	395	603
198	396	599
199	397	595
200	398	592
201	400	590
202	401	587
203	402	584
204	403	580
205	404	577
206	405	573
207	406	570
208	407	567
209	408	564
210	409	560
211	410	557
212	411	554
213	412	550
214	414	549
215	415	546
216	416	542
217	417	539
218	418	536
219	419	533
220	420	530
221	421	527
222	422	524
223	423	521
224	424	518
225	425	515
226	426	512
227	427	509
228	428	506
229	431	506
230	432	504
231	434	501
232	435	498
233	436	496
234	437	493
235	438	490
236	440	488
237	440	485
238	441	482
239	442	479
240	444	477
241	445	474
242	446	472
243	448	470
244	449	468
245	450	465
246	451	462
247	452	459
248	453	456
249	453	453
250	454	451
251	455	448
252	457	446
253	458	444
254	459	441
255	460	438
256	463	438
257	464	435
258	465	432
259	466	430
260	467	427
261	468	425
262	469	423
263	470	420
264	471	417
265	472	415
266	473	412
267	473	410
268	474	407
269	475	405
270	476	402
271	477	400
272	478	397
273	479	395
274	480	393
275	481	390
276	482	388
277	483	385
278	483	383
279	484	380
280	490	382
281	498	385
